"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family"
"ABAU","","Abutilon auritum (Wall. ex Link) Sweet","Asian Indian mallow","Malvaceae"
"ABELM","","Abelmoschus Medik.","okra","Malvaceae"
"ABER","","Abutilon eremitopetalum Caum","hiddenpetal Indian mallow","Malvaceae"
"ABGR3","","Abutilon grandifolium (Willd.) Sweet","hairy Indian mallow","Malvaceae"
"ABIN","","Abutilon incanum (Link) Sweet","pelotazo","Malvaceae"
"ABIN","ABINI","Abutilon incanum (Link) Sweet ssp. incanum","","Malvaceae"
"ABIN","ABINP","Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe","","Malvaceae"
"ABIN","ABPR4","Abutilon pringlei Hochr.","","Malvaceae"
"ABIN3","","Abutilon indicum (L.) Sweet","monkeybush","Malvaceae"
"ABME2","","Abutilon menziesii Seem.","ko'oloa 'ula","Malvaceae"
"ABMO","","Abelmoschus moschatus Medik.","musk okra","Malvaceae"
"ABMO","HIAB","Hibiscus abelmoschus L.","","Malvaceae"
"ABPR3","","Abrus precatorius L.","rosarypea","Fabaceae"
"ABPR3","ABAB2","Abrus abrus (L.) W. Wight, nom. inval.","","Fabaceae"
"ABRUS","","Abrus Adans.","abrus","Fabaceae"
"ABSA2","","Abutilon sandwicense (O. Deg.) Christoph.","greenflower Indian mallow","Malvaceae"
"ABSA2","ABSA4","Abortopetalum sandwicense O. Deg.","","Malvaceae"
"ABSA2","ABSAW","Abutilon sandwicense (O. Deg.) Christoph. var. welchii Christoph.","","Malvaceae"
"ABUTI","","Abutilon Mill.","Indian mallow","Malvaceae"
"ACACI","","Acacia Mill.","acacia","Fabaceae"
"ACAEN","","Acaena Mutis ex L.","acaena","Rosaceae"
"ACAN10","","Acacia aneura F. Muell. ex Benth.","mulga","Fabaceae"
"ACANT3","","Acanthospermum Schrank","starbur","Asteraceae"
"ACANT6","","Acanthocereus (Engelm. ex A. Berger) Britton & Rose","triangle cactus","Cactaceae"
"ACAS","","Achyranthes aspera L.","devil's horsewhip","Amaranthaceae"
"ACAS","ACCA37","Achyranthes canescens R. Br.","","Amaranthaceae"
"ACASA","","Achyranthes aspera L. var. aspera","devil's horsewhip","Amaranthaceae"
"ACASA","ACIN4","Achyranthes indica (L.) Mill.","","Amaranthaceae"
"ACASA","CEAS3","Centrostachys aspera (L.) Standl.","","Amaranthaceae"
"ACASA","CEIN6","Centrostachys indica (L.) Standl.","","Amaranthaceae"
"ACASP","","Achyranthes aspera L. var. pubescens (Moq.) Townsend","devil's horsewhip","Amaranthaceae"
"ACAU2","","Acanthospermum australe (Loefl.) Kuntze","Paraguayan starbur","Asteraceae"
"ACAU2","ACXA","Acanthospermum xanthioides DC.","","Asteraceae"
"ACAU2","MEAU","Melampodium australe Loefl.","","Asteraceae"
"ACAU3","","Acrostichum aureum L.","golden leatherfern","Pteridaceae"
"ACCO","","Acacia confusa Merr.","small Philippine acacia","Fabaceae"
"ACEX","","Acaena exigua A. Gray","liliwai","Rosaceae"
"ACEX","ACEXG","Acaena exigua A. Gray var. glaberrima Bitter","","Rosaceae"
"ACEX","ACEXG2","Acaena exigua A. Gray var. glabriuscula Bitter","","Rosaceae"
"ACEX","ACEXS","Acaena exigua A. Gray var. subtusstrigulosa Bitter","","Rosaceae"
"ACHI","","Acanthospermum hispidum DC.","hispid starbur","Asteraceae"
"ACHIL","","Achillea L.","yarrow","Asteraceae"
"ACHYR2","","Achyranthes L.","chaff flower","Amaranthaceae"
"ACKO","","Acacia koa A. Gray","koa","Fabaceae"
"ACKO","ACKA","Acacia kauaiensis Hillebr.","","Fabaceae"
"ACKO","ACKOH","Acacia koa A. Gray var. hawaiiensis Rock","","Fabaceae"
"ACKO","ACKOL","Acacia koa A. Gray var. lanaiensis Rock","","Fabaceae"
"ACKO","ACKOW","Acacia koa A. Gray var. waimeae Hochr.","","Fabaceae"
"ACKO2","","Acacia koaia Hillebr.","koaoha","Fabaceae"
"ACME","","Acacia melanoxylon R. Br.","blackwood","Fabaceae"
"ACME80","","Acacia mearnsii De Wild.","black wattle","Fabaceae"
"ACME80","ACDEM","Acacia decurrens (Wendl. f.) Willd. var. mollis Lindl.","","Fabaceae"
"ACMI2","","Achillea millefolium L.","common yarrow","Asteraceae"
"ACMIM2","","Achillea millefolium L. var. millefolium","common yarrow","Asteraceae"
"ACMIM2","ACMA14","Achillea magna auct.","","Asteraceae"
"ACMU2","","Achyranthes mutica A. Gray","blunt chaff flower","Amaranthaceae"
"ACMU2","ACNE3","Achyranthes nelsonii H. St. John","","Amaranthaceae"
"ACPA81","","Acacia parramattensis Tindale","South Wales wattle","Fabaceae"
"ACROS","","Acrostichum L.","leatherfern","Pteridaceae"
"ACSP3","","Achyranthes splendens Mart. ex Moq.","Maui chaff flower","Amaranthaceae"
"ACSPA2","","Achyranthes splendens Mart. ex Moq. var. atollensis (H. St. John) Govaerts","","Amaranthaceae"
"ACSPA2","ACAT","Achyranthes atollensis H. St. John","","Amaranthaceae"
"ACSPR2","","Achyranthes splendens Mart. ex Moq. var. rotundata Hillebr.","Maui chaff flower","Amaranthaceae"
"ACSPR2","ACSPR","Achyranthes splendens Mart. ex Moq. var. reflecta Hillebr.","","Amaranthaceae"
"ACSPS","","Achyranthes splendens Mart. ex Moq. var. splendens","Maui chaff flower","Amaranthaceae"
"ACTE4","","Acanthocereus tetragonus (L.) Humm.","triangle cactus","Cactaceae"
"ACTE4","ACFL3","Acanthocereus floridanus Small ex Britton & Rose","","Cactaceae"
"ACTE4","ACPE5","Acanthocereus pentagonus (L.) Britton & Rose","","Cactaceae"
"ACTE4","CATE30","Cactus tetragonus L.","","Cactaceae"
"ACTE4","CEPE4","Cereus pentagonus (L.) Haw.","","Cactaceae"
"ADAB","","Adenophorus abietinus (D.C. Eaton) K.A. Wilson","elegant kihifern","Grammitidaceae"
"ADAB2","","Adenophorus ×abbottiae W.H. Wagner [hymenophylloides × tamariscinus]","kihifern","Grammitidaceae"
"ADCA","","Adiantum capillus-veneris L.","common maidenhair","Pteridaceae"
"ADCA","ADCAM","Adiantum capillus-veneris L. var. modestum (Underw.) Fernald","","Pteridaceae"
"ADCA","ADCAP","Adiantum capillus-veneris L. var. protrusum Fernald","","Pteridaceae"
"ADCA","ADMO2","Adiantum modestum Underw.","","Pteridaceae"
"ADCA5","","Adenophorus ×carsonii T.A. Ranker [hymenophylloides × tripinnatifidus]","kihifern","Grammitidaceae"
"ADENA","","Adenanthera L.","beadtree","Fabaceae"
"ADENO3","","Adenophorus Gaudich.","kihifern","Grammitidaceae"
"ADENO4","","Adenostemma J.R. Forst. & G. Forst.","medicineplant","Asteraceae"
"ADEP","","Adenophorus epigaeus (Bishop) W.H. Wagner","Kauai kihifern","Grammitidaceae"
"ADEP","ADTAE","Adenophorus tamariscinus (Kaulf.) Hook. & Grev. var. epigaeus Bishop","","Grammitidaceae"
"ADHA","","Adenophorus haalilioanus (Brack.) K.A. Wilson","island kihifern","Grammitidaceae"
"ADHA","POHA14","Polypodium haalilioanum Brack.","","Grammitidaceae"
"ADHI","","Adiantum hispidulum Sw.","rough maidenhair","Pteridaceae"
"ADHY","","Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.","filmy kihifern","Grammitidaceae"
"ADHY","AMHY3","Amphoradenium hymenophylloides (Kaulf.) Copeland","","Grammitidaceae"
"ADHY","POHY5","Polypodium hymenophylloides Kaulf.","","Grammitidaceae"
"ADIAN","","Adiantum L.","maidenhair fern","Pteridaceae"
"ADLA2","","Adenostemma lavenia (L.) Kuntze","common medicineplant","Asteraceae"
"ADLA2","ADVI2","Adenostemma viscosum J.R. Forst. & G. Forst.","","Asteraceae"
"ADLA2","VELA4","Verbesina lavenia L.","","Asteraceae"
"ADMO3","","Adenophorus montanus (Hillebr.) W.H. Wagner","Maui kihifern","Grammitidaceae"
"ADMO3","ADTAM","Adenophorus tamariscinus (Kaulf.) Hook. & Grev. var. montanus (Hillebr.) Bishop","","Grammitidaceae"
"ADOA","","Adenophorus oahuensis (Copeland) Bishop","Oahu kihifern","Grammitidaceae"
"ADOA","GROA","Grammitis oahuensis Copeland","","Grammitidaceae"
"ADPA","","Adenanthera pavonina L.","red beadtree","Fabaceae"
"ADPE2","","Adenophorus periens Bishop","pendant kihifern","Grammitidaceae"
"ADPI","","Adenophorus pinnatifidus Gaudich.","graceful kihifern","Grammitidaceae"
"ADPI","POSA24","Polypodium sarmentosum Brack.","","Grammitidaceae"
"ADRA","","Adiantum raddianum C. Presl","delta maidenhair","Pteridaceae"
"ADRA","ADCU","Adiantum cuneatum Langsd. & Fisch.","","Pteridaceae"
"ADTA","","Adenophorus tamariscinus (Kaulf.) Hook. & Grev.","wahini noho mauna","Grammitidaceae"
"ADTA","AMTA4","Amphoradenium tamariscinum (Kaulf.) Copeland","","Grammitidaceae"
"ADTA","POTA4","Polypodium tamariscinum Kaulf.","","Grammitidaceae"
"ADTE","","Adiantum tenerum Sw.","fan maidenhair","Pteridaceae"
"ADTR2","","Adenophorus tripinnatifidus Gaudich.","royal kihifern","Grammitidaceae"
"AEPA3","","Aeschynomene paniculata Willd. ex Vogel","pannicle jointvetch","Fabaceae"
"AEPA3","AEPA4","Aeschynomene paniculatus Willd. ex Vog., orth. var.","","Fabaceae"
"AERVA","","Aerva Forssk.","aerva","Amaranthaceae"
"AESCH","","Aeschynomene L.","jointvetch","Fabaceae"
"AESE","","Aerva sericea Moq.","island puzzle","Amaranthaceae"
"AGAD2","","Ageratina adenophora (Spreng.) R.M. King & H. Rob.","sticky snakeroot","Asteraceae"
"AGAD2","EUAD2","Eupatorium adenophorum Spreng.","","Asteraceae"
"AGAD2","EUGL8","Eupatorium glandulosum Kunth, non Michx.","","Asteraceae"
"AGAM","","Agave americana L.","American century plant","Agavaceae"
"AGAMA","","Agave americana L. ssp. americana","American century plant","Agavaceae"
"AGAMA","AGAMM","Agave americana L. var. marginata Trel.","","Agavaceae"
"AGAMA","AGAMM2","Agave americana L. var. mediopicta Trel.","","Agavaceae"
"AGAMA","AGAMS","Agave americana L. var. striata Trel.","","Agavaceae"
"AGAMA2","","Agave americana L. ssp. americana var. americana","American century plant","Agavaceae"
"AGAV","","Agrostis avenacea J.F. Gmel.","Pacific bentgrass","Poaceae"
"AGAV","AGRE5","Agrostis retrofracta Willd.","","Poaceae"
"AGAV","LAFI3","Lachnagrostis filiformis (G. Forst.) Trin.","","Poaceae"
"AGAVE","","Agave L.","agave","Agavaceae"
"AGCA4","","Agrostis canina L.","velvet bentgrass","Poaceae"
"AGCA4","AGCAV","Agrostis canina L. var. varians (Thuill.) Ducomm.","","Poaceae"
"AGCA5","","Agrostis capillaris L.","colonial bentgrass","Poaceae"
"AGCA5","AGSY2","Agrostis sylvatica Huds.","","Poaceae"
"AGCA5","AGTE","Agrostis tenuis Sibth.","","Poaceae"
"AGCA5","AGTEA","Agrostis tenuis Sibth. var. aristata (Parnell) Druce","","Poaceae"
"AGCA5","AGTEH","Agrostis tenuis Sibth. var. hispida (Willd.) Philipson","","Poaceae"
"AGCA5","AGTEP","Agrostis tenuis Sibth. var. pumila (L.) Druce","","Poaceae"
"AGCA5","AGVU2","Agrostis vulgaris With.","","Poaceae"
"AGCO","","Ageratum conyzoides L.","tropical whiteweed","Asteraceae"
"AGERA","","Ageratum L.","whiteweed","Asteraceae"
